dtype,family,maximum,minimum,missing,mode_fraction,model_utility,name,positive_gain_fold_fraction,status,unique_values,univariate_utility,definition,availability,final_selected,final_reason,correlation_clicks,correlation_carts,correlation_orders,duplicate_of,correlation,redundant_with
float32,graph,3370.12841796875,0.0,0,0.993249197977483,1.0135027125039694e-06,graph_time_orders_n10_six_hours_max,0.3333333333333333,capacity,3233,0.004837406955135602,"max of time graph affinity from last 10 observed events restricted to orders, with six_hours weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0014924726947894804,-0.00043952244023307674,0.007593838255977886,,,
float32,graph,3394.464599609375,0.0,0,0.993249197977483,0.0,graph_time_orders_n10_six_hours_mean,0.0,capacity,3232,0.0027368199664289427,"mean of time graph affinity from last 10 observed events restricted to orders, with six_hours weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.001676737552212988,-0.0008481635159981408,0.0038578285940136696,,,
float32,graph,863.3052978515625,0.0,0,0.9973210794279522,0.0,graph_time_orders_n10_six_hours_std,0.0,capacity,1242,0.0078018030375608845,"std of time graph affinity from last 10 observed events restricted to orders, with six_hours weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.000618637790130096,0.0011891675640580144,0.012305314982217451,,,
float32,graph,3394.464599609375,0.0,0,0.9926850099122007,0.0,graph_time_orders_n20_uniform_sum,0.0,capacity,3460,0.005749994909702347,"sum of time graph affinity from last 20 observed events restricted to orders, with uniform weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.001521483765780902,-4.284590964951482e-05,0.009308321267049004,,,
float32,graph,3394.464599609375,0.0,0,0.9926850099122007,0.0,graph_time_orders_n20_uniform_max,0.0,capacity,3449,0.0040013030334579884,"max of time graph affinity from last 20 observed events restricted to orders, with uniform weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0013999945252057408,-8.948180793118111e-05,0.006390765064263434,,,
float32,graph,3394.464599609375,0.0,0,0.9926850099122007,0.0,graph_time_orders_n20_uniform_mean,0.0,capacity,3486,0.00210645056702998,"mean of time graph affinity from last 20 observed events restricted to orders, with uniform weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0016854182615647524,-0.0007843084354960603,0.002837693683707811,,,
float32,graph,863.3053588867188,0.0,0,0.9970856768214034,0.0,graph_time_orders_n20_uniform_std,0.0,capacity,1380,0.009982405115365706,"std of time graph affinity from last 20 observed events restricted to orders, with uniform weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,0.0003594651155148171,0.00257615647911306,0.015289352766800513,,,
float32,graph,1973.9754638671875,0.0,0,0.9926850099122007,0.0,graph_time_orders_n20_position_sum,0.0,capacity,3516,0.005660387919666462,"sum of time graph affinity from last 20 observed events restricted to orders, with position weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0017954215890326089,-0.0006358710176175994,0.008816807425796536,,,
float32,graph,1973.9754638671875,0.0,0,0.9926850099122007,0.0,graph_time_orders_n20_position_max,0.0,capacity,3512,0.0037867305704728437,"max of time graph affinity from last 20 observed events restricted to orders, with position weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0017023619217980091,-0.000652216877617217,0.005701382191679797,,,
float32,graph,3394.464599609375,0.0,0,0.9926850099122007,0.0,graph_time_orders_n20_position_mean,0.0,capacity,3534,0.0019129528041373434,"mean of time graph affinity from last 20 observed events restricted to orders, with position weights; missing edges zero",fixed historical cutoff and observed prefix,False,capacity,-0.0016784939124259346,-0.0007839316225015843,0.0025165398769071245,,,
